ticker,dateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
NKE,2020-02-25,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-26,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-27,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-28,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-29,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-01,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-02,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-03,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-04,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-05,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-06,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-07,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-08,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-09,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-10,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-11,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-12,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-13,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-14,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-15,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-16,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-17,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-18,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-19,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-20,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-21,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-22,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-23,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-24,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-25,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-26,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-27,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-28,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-29,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
NKE,2020-03-30,USD,1180000000,None,None,160000000,181000000,170000000,275000000,-93000000,-153000000,847000000,30000000,-1442000000,None,944000000,944000000,None,382000000,382000000,None,None,None,None,-749000000,None,-207000000,25000000,847000000
